memberId,lastTransactionUtcTs,lastTransactionType,lastTransactionPointsBought,lastTransactionRevenueUSD
F44DBBBC,2023-12-10 11:24:18,gift,9600,32.0
B9EF12A3,2020-12-22 14:40:25,redeem,-8200,0.0
353ACD20,2022-06-13 17:16:38,gift,600,2.0
5D72524D,2020-11-08 11:37:48,buy,400,0.2857142857142857
F5601A96,2022-10-13 13:19:55,buy,8800,12.571428571428571
1A1AAFB2,2021-11-07 06:20:36,buy,7000,5.833333333333333
2085BB17,2019-01-25 04:00:33,buy,9900,5.5
92222EBC,2022-02-04 06:26:30,redeem,-1800,0.0
DE82F6BF,2020-06-27 21:48:28,redeem,-5900,0.0
AE5B5678,2019-04-04 14:56:14,redeem,-9600,0.0
94BD686A,2022-07-09 23:57:57,buy,9700,8.818181818181818
74508396,2023-12-18 14:57:45,redeem,-9800,0.0
34C66526,2020-05-31 18:29:38,redeem,-7300,0.0
CD9ACC08,2022-12-26 08:13:10,gift,4100,2.5625
6902D348,2020-05-18 22:53:04,gift,4500,45.0
18D711DC,2021-06-15 21:30:37,buy,9700,13.857142857142858
4D2420BF,2021-12-03 10:48:06,gift,7800,15.6
565DB88B,2020-09-02 07:40:10,buy,4700,9.4
0C29817B,2023-07-26 11:40:25,gift,8400,8.4
14B66A62,2019-01-31 07:26:20,buy,5000,12.5
BC7740B7,2020-06-25 23:52:42,buy,4100,41.0
D70B88C5,2020-11-21 23:39:31,buy,200,0.6666666666666666
6902D348,2019-07-22 13:37:01,redeem,-3800,0.0
0465787F,2021-09-10 00:47:40,buy,6700,22.333333333333332
CDCD2760,2022-11-22 11:44:57,redeem,-6000,0.0
7F6688B6,2020-01-31 06:01:44,gift,4800,2.526315789473684
5EEE0B55,2020-05-18 10:52:18,buy,9400,11.75
5B173F16,2023-06-08 22:41:18,buy,2100,1.05
CFC1F999,2019-10-04 04:34:11,gift,9100,5.055555555555555
CB819F1C,2023-03-19 07:17:45,redeem,-800,0.0
3EEF3DD6,2020-03-11 07:12:10,gift,6500,16.25
E2CDD6A3,2019-12-30 09:05:20,gift,9000,9.0
E71F95FD,2019-05-21 08:43:56,buy,7000,4.666666666666667
CAA29670,2020-03-28 03:43:11,gift,10000,9.090909090909092
8B1C7BD4,2021-12-24 01:31:10,redeem,-4600,0.0
D5F07DA4,2019-01-27 00:40:41,gift,7500,4.411764705882353
50F988B1,2019-11-01 20:18:07,buy,1600,1.6
CB7F15B2,2023-09-28 16:44:55,gift,6700,22.333333333333332
E383CB37,2021-01-26 23:22:40,buy,2300,3.2857142857142856
25938411,2021-10-15 03:43:53,redeem,-4500,0.0
464459E9,2020-11-03 15:23:21,gift,4000,2.857142857142857
E9C8343F,2023-06-13 12:05:30,buy,4600,5.75
6DC659DA,2021-08-06 21:09:36,redeem,-8700,0.0
AF5F0CF2,2021-07-08 03:03:34,buy,2300,1.7692307692307692
95B6B2D1,2021-03-31 10:33:27,gift,5700,28.5
C2B22222,2023-12-05 00:16:50,gift,4100,10.25
1A2743D1,2019-03-09 00:29:25,buy,2700,27.0
E3BA7DE1,2023-11-18 16:26:04,buy,1900,19.0
5BD9AEFA,2019-02-11 08:26:34,gift,500,1.0
634E89BA,2019-08-26 19:54:10,gift,5500,5.5
E94CEF81,2021-01-12 20:04:48,gift,4300,21.5
89065792,2023-04-03 09:53:05,gift,7700,6.416666666666667
490BCC00,2020-11-27 14:40:01,gift,2900,2.9
66A1D1E4,2023-01-30 02:54:31,buy,3200,1.8823529411764706
DE82F6BF,2022-01-19 05:47:06,buy,8800,4.631578947368421
39111402,2021-02-26 21:36:08,buy,1300,1.3
6D092AFC,2021-07-13 07:33:06,redeem,-7600,0.0
A3BD3DA4,2020-01-03 12:40:19,gift,1900,6.333333333333333
97179360,2023-09-29 18:50:13,gift,8000,5.0
8303F46E,2020-02-22 13:31:12,redeem,-100,0.0
E3BA7DE1,2019-12-18 05:19:47,redeem,-3200,0.0
8E25F6E9,2023-07-12 15:24:34,redeem,-7200,0.0
77158504,2023-07-25 23:29:41,buy,200,0.18181818181818182
55EB3069,2021-11-16 17:33:42,buy,8700,29.0
39F57318,2020-03-14 09:53:19,buy,600,0.5
76F0942D,2019-01-11 14:59:45,buy,6200,62.0
FB608F11,,,,
FEF48449,2023-06-24 12:42:50,gift,1600,16.0
66EB5B9B,2023-12-25 06:48:28,redeem,-2800,0.0
F37BF075,2019-03-31 04:55:06,buy,7700,7.7
48B58C8A,2022-03-13 18:41:36,buy,2600,3.25
7B78E143,2021-10-14 03:26:04,gift,4600,2.7058823529411766
FD7F939B,2020-02-22 23:26:12,redeem,-8300,0.0
DC1E01E7,2022-05-06 03:41:07,buy,7700,3.85
9537E9E2,2022-07-17 18:31:34,buy,7000,14.0
2085BB17,2019-06-19 02:44:36,buy,8200,16.4
030FFE74,2023-10-26 17:26:38,redeem,-3600,0.0
5AC9489D,2022-08-16 18:05:42,buy,5300,5.3
18B016AB,2021-11-07 14:15:28,redeem,-2600,0.0
0744D481,2021-05-16 03:41:11,redeem,-3600,0.0
01453339,2020-01-26 23:28:06,gift,5000,2.6315789473684212
84C7F4C5,2019-01-07 23:26:33,gift,4700,5.222222222222222
137242A0,2019-02-27 11:23:03,gift,6700,3.526315789473684
01992220,2020-07-29 05:24:54,redeem,-7000,0.0
A0C87EEA,2023-05-02 07:06:00,buy,3400,2.2666666666666666
11D2C6FF,2019-05-30 16:30:57,buy,8000,7.2727272727272725
0C29817B,2023-11-18 12:23:37,gift,1700,4.25
83267BAF,2019-10-27 04:30:32,buy,500,2.5
2954F84A,2019-06-21 06:33:50,gift,3100,2.5833333333333335
0DEA9D01,,,,
FDDF909C,2019-05-29 17:53:18,redeem,-8400,0.0
409D35EA,2023-11-09 11:53:51,gift,4400,3.142857142857143
A730D2DA,2023-01-24 09:21:59,gift,1300,0.65
5AC9489D,2023-05-13 05:13:38,gift,7200,6.545454545454546
B1B6E92C,2021-04-20 17:42:29,redeem,-5300,0.0
DE940C1C,2020-11-05 02:52:38,redeem,-1800,0.0
76F0942D,2022-11-23 21:05:48,redeem,-7700,0.0
3D6A787F,2021-08-28 12:59:27,redeem,-6600,0.0
85E30144,2021-04-27 01:09:41,gift,3200,2.1333333333333333
4D37F2E1,2021-12-27 02:59:31,buy,5600,3.2941176470588234
BA621B28,2022-07-16 22:00:12,redeem,-6400,0.0
D8067881,2023-12-15 22:23:02,buy,8400,42.0
08E0A13C,2020-05-09 20:26:22,buy,8600,10.75
B1001422,2019-07-26 17:01:23,gift,6800,17.0
E94CEF81,2019-02-16 06:03:04,buy,7600,5.428571428571429
0EF042B8,2023-03-13 02:09:17,redeem,-3200,0.0
9AF04963,2021-10-15 14:08:11,buy,2900,3.2222222222222223
331B6148,2021-10-13 06:15:16,redeem,-9500,0.0
2954F84A,2021-03-02 18:55:32,redeem,-6800,0.0
E94CEF81,2022-06-22 19:38:51,buy,4800,6.0
161B54F9,2021-11-08 23:41:49,buy,2300,3.8333333333333335
A273437D,2019-06-30 09:51:52,buy,200,0.16666666666666666
945EC7D0,2023-07-22 02:34:06,buy,8100,13.5
464459E9,2021-05-22 16:14:38,gift,4200,10.5
5A2968C4,2019-10-24 05:30:42,buy,7000,7.777777777777778
0556F02D,2019-08-15 20:10:22,redeem,-8800,0.0
1ACD6205,2019-10-05 00:21:04,redeem,-1000,0.0
8E12A9D0,2021-07-09 23:02:12,redeem,-7800,0.0
5FC5C6CC,2021-01-24 22:23:54,gift,3600,3.0
471193DA,2020-11-04 20:17:33,redeem,-4900,0.0
1212ED34,2023-10-19 18:01:46,redeem,-100,0.0
B81EBF21,2019-02-23 11:27:54,buy,7600,76.0
7A212217,2022-11-03 10:48:31,gift,8900,5.235294117647059
6D092AFC,2021-07-27 22:18:31,buy,4400,6.285714285714286
154651AD,2019-06-14 01:28:50,gift,7000,3.888888888888889
C39173E8,2023-12-05 19:37:25,gift,8000,8.88888888888889
CCE5330A,2021-03-20 01:49:18,redeem,-8100,0.0
5117030F,2022-12-04 04:55:26,redeem,-3000,0.0
6C09BDC9,2020-12-26 02:43:19,buy,2300,1.4375
B224690B,2020-12-15 00:45:16,buy,1300,0.7647058823529411
95489529,2023-12-26 11:14:07,gift,7100,6.454545454545454
9EDC30FF,2020-04-30 04:41:38,redeem,-9200,0.0
F4DF6478,2020-08-05 22:51:24,buy,400,0.21052631578947367
CDD60B59,2022-03-11 13:44:09,buy,5900,5.363636363636363
3D938BD4,2022-01-04 18:33:45,redeem,-3900,0.0
CFC1F999,2022-09-28 05:57:43,buy,2700,5.4
F37BF075,2023-11-03 23:07:01,buy,5600,8.0
9500046A,2022-05-05 03:45:57,buy,9900,19.8
97094FB3,2023-12-27 14:35:18,redeem,-1200,0.0
D6707AE8,2022-12-21 06:00:50,buy,800,0.6153846153846154
51220C27,2019-07-03 10:52:46,gift,3500,3.888888888888889
B82EE52F,2021-08-27 19:19:23,redeem,-500,0.0
E6B53130,2019-06-22 03:23:50,gift,5500,9.166666666666666
4883B10C,2021-12-27 02:59:02,buy,5700,3.8
1212ED34,2019-03-24 03:20:24,buy,4000,2.0
76F0942D,2019-06-29 14:14:13,gift,2600,1.368421052631579
F4DF6478,2019-07-01 01:01:13,redeem,-1900,0.0
B1B6E92C,2020-12-29 01:10:30,buy,900,0.6923076923076923
B1019FD1,2023-08-15 12:40:59,redeem,-2400,0.0
D55D2603,2023-04-18 15:27:08,buy,4300,3.909090909090909
E0A14E95,2021-03-11 23:54:56,redeem,-500,0.0
CCF84A75,2022-01-16 08:15:22,gift,9200,30.666666666666668
C4782977,2023-06-06 22:16:08,redeem,-1000,0.0
945EC7D0,2021-02-23 04:14:22,redeem,-2900,0.0
E5AB8A9B,2023-09-07 20:10:33,gift,7200,24.0
A835E843,2020-10-14 02:31:19,buy,4100,10.25
0EF042B8,2019-12-11 07:06:30,gift,5100,2.6842105263157894
69F19E30,2019-03-24 02:58:39,redeem,-8400,0.0
1FFEEF36,2022-04-06 18:52:17,buy,900,0.47368421052631576
666B322A,2020-09-27 04:16:18,gift,4200,21.0
FAA9746C,2020-09-27 15:45:22,gift,5700,2.85
141B3B78,2023-01-22 05:52:38,gift,2400,6.0
8303F46E,2023-03-13 19:49:27,buy,5300,2.789473684210526
82108D0C,2022-09-05 10:43:19,redeem,-5500,0.0
C677471E,2021-05-15 01:35:26,redeem,-2300,0.0
E795FA5A,2019-07-25 15:36:53,gift,6000,3.75
2C58514E,2020-05-09 17:55:42,buy,2800,2.0
82ECA241,2022-07-02 05:26:27,redeem,-5900,0.0
17B69903,2019-04-04 02:20:35,gift,7100,11.833333333333334
3D938BD4,2022-08-16 01:35:48,gift,1500,2.142857142857143
651B28B4,2022-10-05 18:22:53,redeem,-7800,0.0
C66FDA0C,2020-08-25 01:16:21,gift,7000,8.75
E1909478,2022-03-25 17:29:09,redeem,-100,0.0
4D37F2E1,2020-04-11 18:05:10,gift,3700,2.466666666666667
CB819F1C,2023-04-15 05:02:42,gift,8400,28.0
EC488D06,2021-12-20 10:26:05,gift,200,0.11764705882352941
21836B6F,2021-08-06 23:27:49,buy,4500,2.25
403ECD80,2022-09-01 02:15:21,redeem,-200,0.0
86657471,2023-10-20 19:50:52,buy,2300,1.2777777777777777
1166073A,2023-09-01 04:36:09,redeem,-1400,0.0
15360C78,2021-12-01 12:01:04,buy,5700,4.071428571428571
EC3BDD69,2020-07-18 19:55:57,redeem,-6100,0.0
0187D272,2022-06-17 18:53:55,gift,1200,0.8
284525AD,2019-08-11 06:19:54,redeem,-4900,0.0
9A4A5C1B,2020-07-17 03:37:10,buy,7400,14.8
96E9CB29,2019-08-06 11:21:24,gift,6700,3.9411764705882355
66EB5B9B,2019-04-08 16:20:18,redeem,-8100,0.0
96E9CB29,2020-09-11 12:51:46,gift,200,0.16666666666666666
9E0EDB10,2022-02-20 09:26:55,gift,8600,5.733333333333333
01EB03DD,2020-09-02 12:40:32,redeem,-4100,0.0
351A31A4,2022-09-28 01:00:57,gift,3000,2.727272727272727
398D8724,2022-02-13 11:56:43,redeem,-3500,0.0
9A4A5C1B,2023-01-21 01:09:59,redeem,-1400,0.0
87D8E73B,2023-04-02 17:42:32,gift,9900,9.0
13491846,2020-03-23 21:19:16,buy,3100,15.5
EF1723B6,2022-10-17 04:46:56,gift,7300,36.5
C137C2FF,2021-01-03 18:20:50,redeem,-8800,0.0
6D6C9C03,2019-01-26 18:07:04,buy,6700,13.4
6D1A4F42,2022-10-13 10:01:32,buy,8100,4.05
B0830F6B,2023-02-05 01:01:53,redeem,-8300,0.0
2954F84A,2021-07-10 04:01:55,buy,2200,1.8333333333333333
B7FB465F,2020-09-16 05:36:03,buy,9500,47.5
98784DEE,2021-12-31 07:55:24,gift,9400,47.0
082880EA,2019-06-14 07:51:47,redeem,-7000,0.0
4A165820,2020-06-19 04:36:26,redeem,-4000,0.0
1073F799,2021-05-27 19:26:45,gift,5300,2.789473684210526
E5AB8A9B,2023-05-08 11:03:43,redeem,-5800,0.0
2954F84A,2022-05-16 20:53:22,redeem,-4400,0.0
51220C27,2021-04-07 02:47:44,redeem,-3000,0.0
C15077C9,2022-06-13 06:34:04,buy,1700,1.3076923076923077
5A283220,2021-08-06 06:40:37,redeem,-1900,0.0
01992220,2019-03-12 19:11:33,buy,700,0.5
3E084EEE,2023-03-28 08:01:31,redeem,-3500,0.0
205909FD,2022-09-29 21:56:06,buy,9500,8.636363636363637
07B90DB7,2023-02-22 14:48:51,redeem,-5100,0.0
4883B10C,2020-06-22 02:09:24,redeem,-2000,0.0
F6A67809,2019-04-06 04:39:37,buy,3900,4.333333333333333
48B58C8A,2021-08-22 13:39:28,buy,7600,4.222222222222222
FBE7D522,2019-07-25 06:21:12,gift,8900,14.833333333333334
90912664,2023-01-12 11:11:30,buy,10000,7.142857142857143
240490A1,2020-01-30 20:28:53,gift,5900,7.375
A386D3CD,2024-01-04 06:53:52,redeem,-7700,0.0
FAD48011,2023-09-28 19:16:13,redeem,-3500,0.0
2AC5371E,2019-04-25 04:56:56,gift,8500,14.166666666666666
3D7351AC,2019-12-14 09:52:29,redeem,-8200,0.0
B3352220,2020-10-16 09:10:38,buy,500,1.0
26F93FEC,2020-08-06 20:57:03,gift,4500,4.090909090909091
2EDD13EF,2020-02-05 07:29:17,buy,4600,46.0
E4452036,2023-02-01 11:43:31,gift,5500,27.5
8B1C7BD4,2023-06-24 13:26:53,redeem,-1900,0.0
049F70FF,2020-10-26 21:09:54,buy,5900,5.9
77509E1F,2020-03-22 13:54:38,buy,8100,10.125
0AA039D6,2021-09-08 11:12:45,redeem,-7500,0.0
9E0EDB10,2022-12-26 04:57:19,gift,8200,5.466666666666667
398AD97B,2023-01-27 01:05:52,redeem,-4800,0.0
D6D7E58F,2020-05-12 12:34:45,gift,200,0.11764705882352941
471193DA,2020-06-30 10:47:08,redeem,-1600,0.0
03DEAF45,2020-07-19 02:09:36,redeem,-1000,0.0
1381FE46,2019-06-17 05:51:09,redeem,-1500,0.0
9A5007C4,2019-10-22 13:32:52,redeem,-4800,0.0
DC1E01E7,2021-08-02 09:44:46,redeem,-7600,0.0
68415BA5,2020-07-29 07:07:36,redeem,-1100,0.0
B8C5C96C,2021-10-22 10:31:46,gift,6800,3.7777777777777777
69A00A83,2023-02-16 23:55:00,buy,1100,11.0
B08B7F04,2019-12-23 22:06:50,gift,7500,9.375
EEFD4047,2020-07-19 08:03:48,redeem,-4400,0.0
3E095AE7,2022-09-29 08:40:00,redeem,-700,0.0
E74A8802,2020-09-02 11:14:50,buy,1500,0.8823529411764706
D2AA040E,2023-04-02 12:46:21,buy,8900,29.666666666666668
666B322A,2022-08-14 21:04:22,gift,1700,5.666666666666667
0B93D54A,2019-11-02 04:01:15,buy,5900,2.95
5EB447B4,2019-06-18 09:18:52,redeem,-3600,0.0
B08B7F04,2021-11-24 09:51:09,redeem,-8900,0.0
69F19E30,2019-03-18 00:08:19,buy,7900,6.076923076923077
0C29817B,2021-04-04 08:13:36,buy,100,0.07142857142857142
01453339,2020-12-13 05:05:59,buy,2300,1.15
E4452036,2021-09-17 04:34:52,redeem,-5700,0.0
FF747F0F,2022-11-04 18:51:17,redeem,-2200,0.0
0C29817B,2023-02-11 23:24:28,redeem,-1200,0.0
BD846912,2023-05-10 05:36:39,gift,8200,6.3076923076923075
92222EBC,2022-07-16 05:02:04,buy,5600,8.0
8320B2B3,2019-05-22 10:01:40,buy,7200,72.0
83267BAF,2020-09-17 12:41:24,gift,9200,15.333333333333334
B1B6E92C,2023-09-14 07:56:45,buy,500,0.625
6ECF48ED,2021-01-28 08:11:30,redeem,-8300,0.0
18ADF621,2022-03-13 07:41:29,buy,500,0.625
0A6CC950,2020-12-25 07:45:39,redeem,-7800,0.0
BD1411E5,2022-06-06 15:16:59,redeem,-4700,0.0
AC1848CE,,,,
5B173F16,2019-12-03 03:18:55,buy,1200,2.4
C9BA98A6,2019-04-25 06:17:09,gift,1400,1.2727272727272727
